James Cameron
Gore Verbinski
Sam Mendes
Christopher Nolan
Andrew Stanton
Sam Raimi
Nathan Greno
Joss Whedon
David Yates
Zack Snyder
Bryan Singer
Marc Forster
Rob Marshall
Barry Sonnenfeld
Peter Jackson
Marc Webb
Ridley Scott
Chris Weitz
Anthony Russo
Peter Berg
Colin Trevorrow
Shane Black
Tim Burton
Brett Ratner
Dan Scanlon
Michael Bay
Joseph Kosinski
John Lasseter
Martin Campbell
Lee Unkrich
McG
James Wan
J.J. Abrams
Baz Luhrmann
Mike Newell
Guillermo del Toro
Steven Spielberg
Peter Sohn
Mark Andrews
Justin Lin
Roland Emmerich
Robert Zemeckis
Lana Wachowski
Pete Docter
Rob Letterman
Jon Favreau
Martin Scorsese
Rob Cohen
David Ayer
Tom Shadyac
Doug Liman
Kevin Reynolds
Stephen Sommers
Rupert Sanders
Robert Stromberg
Matt Reeves
Carl Rinsch
Mike Mitchell
Brad Bird
Don Hall
Rich Moore
Dean DeBlois
Jonathan Mostow
James Gunn
Hideaki Anno
David Fincher
Matthew Vaughn
Francis Lawrence
Jon Turteltaub
Wolfgang Petersen
James Bobin
Chris Miller
Duncan Jones
Alan Taylor
Michael Apted
Oliver Stone
Eric Darnell
Shawn Levy
Gavin Hood
Chris Buck
Ron Howard
Kenneth Branagh
Byron Howard
Hoyt Yeatman
Jonathan Liebesman
Christopher McQuarrie
Joe Johnston
Steve Hickner
Jennifer Yuh Nelson
M. Night Shyamalan
Simon Wells
David Bowers
Joe Wright
Rob Minkoff
Lee Tamahori
Paul Feig
Alessandro Carloni
Peter Ramsey
Dean Parisot
Edward Zwick
Alex Proyas
Richard Donner
Ang Lee
Jon M. Chu
Breck Eisner
Hironobu Sakaguchi
Peter Weir
Bill Condon
George Miller
Louis Leterrier
David Soren
Paul Greengrass
Mark Osborne
Peyton Reed
Tim Johnson
Phillip Noyce
Darren Aronofsky
Eric Leighton
Matt Birch
Tom McGrath
Chris Columbus
Robert Schwentke
Carlos Saldanha
Guy Ritchie
Paul Verhoeven
John McTiernan
Tony Gilroy
Joel Schumacher
John Woo
Tim Story
Mark Steven Johnson
Neill Blomkamp
David Twohy
James L. Brooks
George Lucas
James Mangold
Kirk De Micco
Cedric Nicolas-Troyan
Roger Donaldson
Dave Green
Josh Trank
Brad Peyton
Roger Spottiswoode
Steven Soderbergh
Michel Gondry
Noam Murro
Raja Gosnell
Will Finn
Jan de Bont
Len Wiseman
Michael Mann
Bo Welch
Ron Clements
Peter Chelsom
Dominic Sena
Tony Scott
Paul Weitz
Adam McKay
Chuck Russell
Quentin Tarantino
Gary Trousdale
Mark Dindal
Simon West
Stefen Fangmeier
Spike Jonze
Chris Wedge
Florian Henckel von Donnersmarck
Peter Hyams
Tom Tykwer
Pitof
Brad Silberling
Patrick Hughes
Ericson Core
Lawrence Guterman
Ron Underwood
Steve Martino
David Mamet
Yimou Zhang
Ash Brannon
Frank Oz
Jay Roach
Luc Besson
Michael Patrick King
Bibo Bergeron
Sergey Bodrov
Wally Pfister
Rupert Wyatt
Mark Waters
John Moore
Renny Harlin
Phil Lord
Ben Stiller
Tony Bancroft
Timur Bekmambetov
Walt Becker
Dennis Dugan
Sydney Pollack
Thor Freudenthal
Brian De Palma
Mick Jackson
Alan J. Pakula
Kathryn Bigelow
John Milius
Andrey Konchalovskiy
Gary Ross
Paul W.S. Anderson
Genndy Tartakovsky
Kevin Lima
Daniel Espinosa
Nancy Meyers
Roger Allers
Neil Burger
Jean-Jacques Annaud
Stephen Hillenburg
Clint Eastwood
Harold Ramis
Nick Cassavetes
Anne Fletcher
Stig Bergqvist
Barbra Streisand
Jason Reitman
Alexander Payne
Jonathan Levine
Rian Johnson
Chris Noonan
David Frankel
Nicholas Stoller
John Singleton
Michael McCullers
Forest Whitaker
Gary Winick
Steven Brill
Woody Allen
Peter Lepeniotis
Ted Demme
Luis Mandoki
William Shatner
John Schultz
Peter Segal
John Glen
Steve Box
Richard LaGravenese
Frederik Du Chau
Bobby Farrelly
James Gartner
Denis Villeneuve
Antoine Fuqua
Lee Toland Krieger
Tim McCanlies
John Stockwell
David Slade
Drew Goddard
Jason Friedberg
Martin Brest
Paul Michael Glaser
John R. Leonetti
Tom Hanks
Kimberly Peirce
Liz Friedlander
Phil Joanou
Sam Weisman
Shane Acker
Martha Coolidge
Stephen J. Anderson
Troy Miller
Warren Beatty
Tate Taylor
Carl Franklin
Brett Leonard
Ivan Reitman
Scott Derrickson
Alister Grierson
Nick Hurran
Charles Stone III
Paul Haggis
Kurt Wimmer
Jean-François Richet
Kevin Hooks
Ellory Elkayem
Jon Avnet
Niki Caro
Howard Deutch
Vincenzo Natali
Willard Huyck
Gavin O'Connor
Bruce Hunt
Rob Reiner
Paul McGuigan
Craig Gillespie
Terrence Malick
Chris Roberts
Neil Jordan
James Wong
Jee-woon Kim
Nick Hamm
Andy Cadiff
Mike Disa
Terry Gilliam
Richard J. Lewis
Brad Furman
Peter Howitt
Sergio Leone
Niels Arden Oplev
Michael Radford
Steve Boyum
Kaige Chen
Corey Yuen
Andrew Dominik
Li Zhang
Laurent Tirard
Reinhard Klooss
Bille August
Olivier Dahan
Maksim Fadeev
Liliana Cavani
Greg Tiernan
Elizabeth Banks
Edward Norton
Peter Hewitt
George Clooney
Reginald Hudlin
Ben Falcone
Richard Attenborough
Lawrence Kasdan
Don Mancini
John Maybury
F. Gary Gray
Igor Kovalyov
Stephen Frears
Robert Rodriguez
David Wain
Adam Shankman
Shinji Aramaki
Wes Anderson
Kenny Ortega
Scott Hicks
Ruben Fleischer
Patrick Lussier
Miguel Arteta
Michael Caton-Jones
James Gray
Janusz Kaminski
Jacques Perrin
Donald Petrie
Brian Levant
Michael Ritchie
John Carpenter
David Gordon Green
Burr Steers
Robert B. Weide
Jeff Wadlow
Camille Delamarre
Judd Apatow
Malcolm D. Lee
David Lean
Richard Eyre
Nicholas Meyer
Callie Khouri
Gary Fleder
John Landis
Sanaa Hamri
Todd Graff
Steve Miner
Philip Kaufman
Saul Dibb
Walter Murch
Richard Linklater
Christian Alvart
E. Elias Merhige
Menno Meyjes
Jodie Foster
Ronny Yu
Barry Levinson
Norman Jewison
Steve Carr
John Madden
Wes Craven
David R. Ellis
Joel Coen
Scott Stewart
